"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BICDL1",4.42832858382721e-227,2.44072229097644,0.446,0.119,1.6208125449666e-222,"0","BICDL1"
"CLEC2D",1.8732278708132e-226,1.99921332128038,0.555,0.191,6.85620132996339e-222,"0","CLEC2D"
"CD28",3.24736199917093e-226,3.04910755730357,0.283,0.037,1.18856696531655e-221,"0","CD28"
"RPL14",1.50298426642638e-212,0.723152134143948,0.992,0.957,5.50107271354719e-208,"0","RPL14"
"RPL3",1.70603483732153e-212,0.693455456018522,0.993,0.983,6.24425810808052e-208,"0","RPL3"
"BCL11B",1.08578989324704e-210,2.49786742180061,0.393,0.096,3.97409958827351e-206,"0","BCL11B"
"CREM",9.06180214547131e-207,1.94219074302393,0.69,0.392,3.31671020326396e-202,"0","CREM"
"RPL39",4.40652280627647e-201,0.662487230880807,0.99,0.983,1.61283141232525e-196,"0","RPL39"
"RPL28",1.3579635976554e-198,0.567064079577548,0.995,0.991,4.97028256377852e-194,"0","RPL28"
"RPL30",1.15515175666147e-197,0.625635511941282,0.993,0.986,4.22797094455666e-193,"0","RPL30"
"GIMAP7",4.03207281895371e-194,2.16123653374295,0.376,0.089,1.47577897246525e-189,"0","GIMAP7"
"RPS18",6.51063386974781e-193,0.627196519714673,0.995,0.987,2.3829571026664e-188,"0","RPS18"
"LEPROTL1",1.81785426509721e-192,2.12695398077334,0.542,0.235,6.65352839568229e-188,"0","LEPROTL1"
"ZC3H12D",3.37496689811572e-192,3.09562037380939,0.265,0.041,1.23527163437934e-187,"0","ZC3H12D"
"ITK",4.55713573213922e-192,2.80540297235903,0.284,0.048,1.66795724932028e-187,"0","ITK"
"RPS6",1.11884645994164e-191,0.697502838272097,0.992,0.974,4.09508992803241e-187,"0","RPS6"
"MALAT1",8.11502587548012e-191,0.653399840305648,0.998,0.948,2.97018062068448e-186,"0","MALAT1"
"RPS25",1.9916868303491e-190,0.694320552380749,0.983,0.96,7.28977296776075e-186,"0","RPS25"
"RPS13",1.60397949118653e-189,0.662429112952472,0.988,0.97,5.87072533569182e-185,"0","RPS13"
"RPS2",6.27771410643919e-189,0.5988703738599,0.995,0.982,2.29770614009781e-184,"0","RPS2"
"ITM2A",7.02701261149992e-185,2.07415448232859,0.479,0.168,2.57195688593509e-180,"0","ITM2A"
"MT-ATP6",4.09141237734049e-184,0.746264681633025,0.996,0.981,1.49749784423039e-179,"0","MT-ATP6"
"RPL10",2.57057493979638e-183,0.574411607281478,0.998,0.995,9.40856133714874e-179,"0","RPL10"
"CD247",2.79556653558741e-183,2.37081471946059,0.292,0.053,1.02320530769035e-178,"0","CD247"
"RPS4X",2.71976879925947e-178,0.606116249295296,0.994,0.982,9.95462578216959e-174,"0","RPS4X"
"TTC39C",5.93579387398178e-177,2.39692733254517,0.472,0.184,2.17255991581607e-172,"0","TTC39C"
"FYB1",8.27213261462436e-177,2.36460159274586,0.384,0.109,3.02768325827866e-172,"0","FYB1"
"RPS15",1.11906522778097e-176,0.565310299583952,0.995,0.983,4.09589064020112e-172,"0","RPS15"
"RPS3A",3.28821689714775e-174,0.604158227926903,0.995,0.99,1.20352026652505e-169,"0","RPS3A"
"RPSA",1.56488699354616e-172,0.823944628427744,0.926,0.88,5.7276428850783e-168,"0","RPSA"
"RPL11",7.73765166942286e-172,0.571447073037813,0.994,0.983,2.83205788752546e-167,"0","RPL11"
"RPLP2",2.69012490740841e-167,0.63991490605946,0.975,0.959,9.84612617360551e-163,"0","RPLP2"
"TNFRSF4",4.41543545098336e-165,3.41877960798129,0.289,0.066,1.61609352941442e-160,"0","TNFRSF4"
"DDX5",1.00999987714899e-164,0.931105191480882,0.898,0.831,3.69670055035301e-160,"0","DDX5"
"BTG1",1.72703965809571e-164,0.863116618459892,0.961,0.9,6.3211378525961e-160,"0","BTG1"
"FYN",7.69064664753646e-164,1.9318687826184,0.488,0.203,2.81485357946482e-159,"0","FYN"
"RPL18A",2.93148513266384e-163,0.543512686996378,0.993,0.982,1.07295287340629e-158,"0","RPL18A"
"RPL32",2.75402562401862e-162,0.568738183549875,0.993,0.985,1.00800091864705e-157,"0","RPL32"
"SYNE2",3.1899098921478e-162,1.97510202203555,0.579,0.323,1.16753891962501e-157,"0","SYNE2"
"PPP2R5C",3.36048276054312e-161,1.75684747392266,0.635,0.4,1.22997029518639e-156,"0","PPP2R5C"
"RPS27A",3.82054378844276e-160,0.554103746570864,0.996,0.989,1.39835723200794e-155,"0","RPS27A"
"RPL41",3.87367937381085e-160,0.489134948858781,0.998,0.995,1.41780538760851e-155,"0","RPL41"
"RPL19",9.10572901770064e-160,0.536853359727359,0.994,0.987,3.33278787776861e-155,"0","RPL19"
"RPL23A",3.2879745218745e-157,0.597909638582246,0.981,0.966,1.20343155475129e-152,"0","RPL23A"
"RPS23",7.70444587060265e-156,0.55890138271602,0.988,0.97,2.81990423309928e-151,"0","RPS23"
"RPL27A",4.68710412850427e-154,0.640854503872687,0.977,0.951,1.71552698207385e-149,"0","RPL27A"
"B2M",2.84053827697538e-150,0.616769722990151,0.996,0.992,1.03966541475576e-145,"0","B2M"
"MT-CYB",8.60036469947339e-149,0.635629515155928,0.989,0.976,3.14781948365426e-144,"0","MT-CYB"
"HINT1",1.17210260463675e-148,0.914853598579902,0.863,0.807,4.29001274323097e-144,"0","HINT1"
"ARID5B",2.95626670336299e-146,1.68820512937606,0.67,0.493,1.08202317609789e-141,"0","ARID5B"
"RPS12",2.61456494041915e-144,0.565995380347112,0.995,0.987,9.56956913842814e-140,"0","RPS12"
"LCK",1.41946860820685e-143,2.22791674332929,0.275,0.062,5.1953970528979e-139,"0","LCK"
"NR3C1",2.86018537427767e-143,1.93506948225077,0.612,0.415,1.04685644883937e-138,"0","NR3C1"
"PABPC1",9.71041772243739e-142,1.22295009720523,0.865,0.845,3.55410999058931e-137,"0","PABPC1"
"RPS19",5.85690396436289e-140,0.503687784001957,0.995,0.989,2.14368541999646e-135,"0","RPS19"
"FAU",5.65501201797774e-139,0.511795379797934,0.99,0.983,2.06979094870003e-134,"0","FAU"
"RPL26",3.41394327341874e-138,0.484978092589448,0.992,0.985,1.24953737750399e-133,"0","RPL26"
"UBA52",9.11940630874658e-138,0.612592597959959,0.964,0.953,3.33779390306433e-133,"0","UBA52"
"RPL17",5.90263047135919e-137,0.505874990399387,0.993,0.98,2.16042177882218e-132,"0","RPL17"
"RPS28",1.96801077520914e-136,0.511048271262117,0.99,0.978,7.20311623834298e-132,"0","RPS28"
"RPL15",1.89916406358436e-134,0.47209684306292,0.994,0.986,6.95113038912512e-130,"0","RPL15"
"ANKRD12",4.9009595424926e-132,1.45433987219347,0.703,0.562,1.79380020214772e-127,"0","ANKRD12"
"ITGA4",2.57409584642521e-131,1.99208413875462,0.406,0.158,9.42144820750092e-127,"0","ITGA4"
"RPLP1",2.72154883118784e-131,0.446824726008994,0.996,0.996,9.96114087703061e-127,"0","RPLP1"
"GMFG",1.62424450879338e-130,1.73376456597308,0.501,0.248,5.94489732663464e-126,"0","GMFG"
"RPS9",6.46422409423032e-128,0.507129284732676,0.99,0.982,2.36597066072924e-123,"0","RPS9"
"P2RY10",5.50640728410549e-125,2.15547260024988,0.309,0.093,2.01540013005545e-120,"0","P2RY10"
"MT-CO2",6.55838046188797e-124,0.56071668494951,0.993,0.976,2.40043283285561e-119,"0","MT-CO2"
"CD96",4.19048833519025e-123,1.88027112633212,0.291,0.079,1.53376063556298e-118,"0","CD96"
"RPL29",3.23547608263526e-121,0.482715030102308,0.989,0.974,1.18421660100533e-116,"0","RPL29"
"RACK1",5.20799706364604e-118,0.533204514769733,0.973,0.963,1.90617900526509e-113,"0","RACK1"
"EEF1A1",6.02510233142528e-117,0.440385938851292,0.997,0.992,2.20524770432497e-112,"0","EEF1A1"
"RPS21",3.47108288788514e-114,0.531380120246121,0.971,0.951,1.27045104779484e-109,"0","RPS21"
"RPL7A",7.4618845983869e-114,0.44837663815689,0.99,0.98,2.73112438185559e-109,"0","RPL7A"
"RPL13A",9.45717279270576e-114,0.555701380004368,0.969,0.952,3.46141981385823e-109,"0","RPL13A"
"RPL18",9.77811126863671e-113,0.434621671501003,0.992,0.988,3.57888650543372e-108,"0","RPL18"
"IKZF1",1.26531766872691e-110,1.74277950896024,0.386,0.158,4.63118919930738e-106,"0","IKZF1"
"CDC42SE2",1.83821020746123e-106,1.53031517569386,0.518,0.296,6.72803318032886e-102,"0","CDC42SE2"
"ARHGDIB",5.94167835617082e-106,1.52228962756073,0.489,0.258,2.17471369514208e-101,"0","ARHGDIB"
"PIK3R1",2.83036282146306e-104,1.74865276856102,0.454,0.235,1.0359410962837e-99,"0","PIK3R1"
"RASGRP1",4.53208161998354e-104,2.15705782091044,0.252,0.072,1.65878719373018e-99,"0","RASGRP1"
"MT-ND3",8.83606295045041e-104,0.541399677932186,0.97,0.952,3.23408740049436e-99,"0","MT-ND3"
"CD3G",4.20535322827864e-103,1.27554856799543,0.274,0.078,1.53920133508226e-98,"0","CD3G"
"UQCRB",3.32506438371086e-102,0.985477114293075,0.768,0.757,1.21700681508201e-97,"0","UQCRB"
"PCED1B-AS1",4.43143499520889e-102,1.91996467448756,0.356,0.146,1.6219495225964e-97,"0","PCED1B-AS1"
"MT-CO3",5.13611938906727e-102,0.485705792698614,0.993,0.985,1.87987105759251e-97,"0","MT-CO3"
"RPL36",3.94289071575405e-97,0.480677370609048,0.977,0.969,1.44313743087314e-92,"0","RPL36"
"CYTIP",7.57359306834388e-95,1.21106732491445,0.582,0.359,2.77201079894454e-90,"0","CYTIP"
"MT-CO1",2.98140835245913e-94,0.424749820957558,0.998,0.988,1.09122527108357e-89,"0","MT-CO1"
"GPRIN3",9.74213128025995e-91,2.06310851376401,0.303,0.118,3.56571746988795e-86,"0","GPRIN3"
"BTF3",1.663971024051e-90,0.556374665395479,0.913,0.897,6.09030034512908e-86,"0","BTF3"
"RPL12",5.43847238073231e-88,0.422930613353198,0.983,0.971,1.99053527607183e-83,"0","RPL12"
"SNHG6",1.33775607666893e-87,0.896095757659698,0.779,0.713,4.89632101621594e-83,"0","SNHG6"
"RPS11",3.17869096997757e-87,0.469880567779004,0.957,0.947,1.16343268192149e-82,"0","RPS11"
"LINC-PINT",8.91876860971862e-87,1.52413026826663,0.561,0.414,3.26435849884311e-82,"0","LINC-PINT"
"N4BP2L2",6.86729769092753e-85,1.22638709978756,0.613,0.485,2.51349962785639e-80,"0","N4BP2L2"
"ZFP36L2",1.49621063401768e-84,1.2826176600527,0.626,0.493,5.47628054156811e-80,"0","ZFP36L2"
"TNFRSF18",9.79692527966575e-84,2.34191340429719,0.374,0.195,3.58577262161046e-79,"0","TNFRSF18"
"EEF1B2",2.67348987442038e-82,0.552091992616216,0.922,0.91,9.78524028936603e-78,"0","EEF1B2"
"NACA",7.85221914692036e-82,0.38648521446014,0.985,0.976,2.87399072996432e-77,"0","NACA"
"CNOT6L",2.92853422024064e-81,1.89754969264875,0.413,0.238,1.07187280995028e-76,"0","CNOT6L"
"PTMA",8.61943566579391e-81,0.34978768353225,0.989,0.979,3.15479964803723e-76,"0","PTMA"
"COX4I1",5.06010180198928e-80,0.642927412135163,0.864,0.876,1.8520478605461e-75,"0","COX4I1"
"NOP53",2.21205147546349e-75,0.810880439521419,0.733,0.722,8.09632960534393e-71,"0","NOP53"
"DDX24",2.21933145393768e-75,1.10121175578136,0.663,0.632,8.12297505455731e-71,"0","DDX24"
"SEPTIN6",8.81169379123715e-75,1.71730295780205,0.379,0.203,3.22516804453071e-70,"0","SEPTIN6"
"ARGLU1",1.83956420220594e-74,1.11040124644785,0.667,0.613,6.73298893649398e-70,"0","ARGLU1"
"RPS20",2.19612875004243e-74,0.697179984364019,0.814,0.811,8.03805083803028e-70,"0","RPS20"
"RPL5",6.74139602638008e-74,0.388898184953757,0.986,0.962,2.46741835961537e-69,"0","RPL5"
"RPL27",2.07487600054527e-73,0.467996768290371,0.917,0.923,7.59425364959574e-69,"0","RPL27"
"CRIP1",2.21226073816769e-73,1.05129579420462,0.585,0.423,8.09709552776757e-69,"0","CRIP1"
"NAP1L1",2.53137284265731e-73,0.791770471275862,0.768,0.745,9.26507774141002e-69,"0","NAP1L1"
"HLA-A",3.35350336848144e-73,0.523625437279793,0.963,0.95,1.22741576789789e-68,"0","HLA-A"
"EEF1D",1.21873361664975e-72,0.450031142456652,0.942,0.935,4.46068691029975e-68,"0","EEF1D"
"RPL22",1.03819283931325e-71,0.493843501400358,0.919,0.909,3.79988961117042e-67,"0","RPL22"
"EVI2B",2.15679545898628e-71,1.3338029033671,0.43,0.245,7.89408705943568e-67,"0","EVI2B"
"RPL35",8.6719356443105e-71,0.39530430598424,0.961,0.946,3.17401516517409e-66,"0","RPL35"
"SMCHD1",1.13517020568021e-70,1.37738684236659,0.566,0.448,4.15483646981015e-66,"0","SMCHD1"
"COX7C",1.22910507959754e-70,0.813039526286964,0.729,0.754,4.49864750183496e-66,"0","COX7C"
"RPL10A",4.93965198988487e-70,0.419097119110542,0.945,0.934,1.80796202481776e-65,"0","RPL10A"
"RORA",6.1360773525204e-66,1.67995156309172,0.47,0.347,2.24586567179599e-61,"0","RORA"
"GAS5",7.49182209868111e-65,0.733844307305725,0.778,0.735,2.74208180633827e-60,"0","GAS5"
"RPS10",4.61392308940132e-63,0.659996129514834,0.76,0.776,1.68874198995178e-58,"0","RPS10"
"RPL36A",7.28916418186063e-62,0.435667203736158,0.925,0.906,2.66790698220281e-57,"0","RPL36A"
"RAPGEF6",3.15262172450702e-61,2.02396667768686,0.271,0.126,1.15389107738682e-56,"0","RAPGEF6"
"ANP32B",3.48765983049105e-61,1.13656682913239,0.624,0.61,1.27651837455803e-56,"0","ANP32B"
"JUND",3.65646607930319e-61,0.519260725275189,0.871,0.861,1.33830314968576e-56,"0","JUND"
"DUSP4",7.01857841403501e-60,1.30012840635134,0.433,0.26,2.56886988532095e-55,"0","DUSP4"
"MAF",2.10659634855163e-59,1.94026712678118,0.397,0.265,7.71035329533384e-55,"0","MAF"
"STAT5B",2.47663140950089e-59,1.92385924584627,0.296,0.149,9.06471862191422e-55,"0","STAT5B"
"APBB1IP",8.97766357015623e-59,1.68791999230946,0.263,0.118,3.28591464331288e-54,"0","APBB1IP"
"RPL35A",2.15644811317127e-58,0.318100512391881,0.988,0.979,7.89281573901815e-54,"0","RPL35A"
"RPL24",3.87017509678153e-58,0.349535231270591,0.987,0.976,1.41652278717301e-53,"0","RPL24"
"PLAAT4",7.90244741862087e-58,1.26090733915008,0.364,0.201,2.89237477968942e-53,"0","PLAAT4"
"SRSF5",1.06125332657143e-57,0.6969194316758,0.748,0.737,3.88429330058411e-53,"0","SRSF5"
"IL32",1.29677801319138e-57,1.3194436768769,0.451,0.289,4.74633720608176e-53,"0","IL32"
"IL2RG",9.86132686990687e-57,1.3508244974093,0.402,0.244,3.60934424765461e-52,"0","IL2RG"
"RABGAP1L",2.25534994121291e-56,1.8896602760137,0.276,0.134,8.25480631983339e-52,"0","RABGAP1L"
"RPL36AL",1.22209038560833e-55,0.462095622356751,0.886,0.894,4.47297302036504e-51,"0","RPL36AL"
"SOD1",1.27867977735615e-55,1.1168606797428,0.587,0.55,4.68009585310125e-51,"0","SOD1"
"H2AFZ",6.71837214033395e-55,0.630067152281917,0.811,0.802,2.45899138708363e-50,"0","H2AFZ"
"RPL38",1.09497572842294e-53,0.478029291562049,0.867,0.89,4.00772066360082e-49,"0","RPL38"
"STK4",3.97807918068932e-53,1.16140711181989,0.559,0.486,1.4560167609241e-48,"0","STK4"
"RPL4",6.96615129349142e-53,0.517785098436294,0.83,0.832,2.54968103493079e-48,"0","RPL4"
"SAMSN1",9.78699462904961e-52,0.87290574200893,0.486,0.31,3.58213790417845e-47,"0","SAMSN1"
"EEF1G",3.2333470150446e-51,0.385890620686414,0.923,0.931,1.18343734097647e-46,"0","EEF1G"
"GBP2",8.59192489613271e-51,1.17444951403791,0.475,0.344,3.14473043123353e-46,"0","GBP2"
"RNF19A",2.68056268600553e-50,1.33494922468167,0.49,0.39,9.81112748704883e-46,"0","RNF19A"
"CASP8",5.67033553653611e-50,1.67939891400747,0.324,0.188,2.07539950972758e-45,"0","CASP8"
"RPS8",8.876506790005e-50,0.295557204311628,0.99,0.977,3.24889025020973e-45,"0","RPS8"
"MT-ND1",9.90046933992319e-50,0.35603655412554,0.969,0.952,3.62367078310529e-45,"0","MT-ND1"
"NDUFV2",1.20163156668789e-49,1.09824626041592,0.611,0.621,4.39809169723434e-45,"0","NDUFV2"
"GPR183",4.52849298223204e-49,1.15873377578134,0.394,0.241,1.65747371642675e-44,"0","GPR183"
"GNG2",2.26132988819831e-48,1.40059709467598,0.264,0.129,8.27669352379463e-44,"0","GNG2"
"ZC3HAV1",6.59267899733283e-48,1.3914011906995,0.409,0.28,2.41298643981379e-43,"0","ZC3HAV1"
"NPM1",1.79555387600059e-47,0.460832936127865,0.894,0.882,6.57190674154976e-43,"0","NPM1"
"MBNL1",1.52131919508795e-46,1.09003683866974,0.536,0.459,5.56818038594141e-42,"0","MBNL1"
"RPL6",2.6323793959018e-46,0.353668747518633,0.965,0.963,9.63477182694016e-42,"0","RPL6"
"DDX3X",4.99691328597e-46,0.720885978504681,0.715,0.728,1.82892023179788e-41,"0","DDX3X"
"STK17B",1.95165366940844e-45,1.31362367146465,0.466,0.363,7.14324759540184e-41,"0","STK17B"
"MT-ND2",7.06583354416674e-45,0.335035039923984,0.983,0.975,2.58616573550047e-40,"0","MT-ND2"
"PDCD4",6.04092781057927e-44,1.28005270157092,0.46,0.36,2.21103998795012e-39,"0","PDCD4"
"TMA7",1.09798858731673e-43,0.639046614507265,0.717,0.762,4.01874802843795e-39,"0","TMA7"
"WIPF1",5.12306494038451e-43,1.12700409961954,0.425,0.3,1.87509299883014e-38,"0","WIPF1"
"FXYD5",5.31998407102924e-42,1.04771776684661,0.566,0.546,1.94716736983741e-37,"0","FXYD5"
"MT-ND4",1.18046196009376e-41,0.27538332224588,0.996,0.986,4.32060882013916e-37,"0","MT-ND4"
"PNRC1",7.6535115036625e-41,0.406352508823766,0.824,0.817,2.80126174545551e-36,"0","PNRC1"
"EML4",1.89291201022692e-39,1.36861119637291,0.443,0.365,6.92824724863156e-35,"0","EML4"
"PBXIP1",2.01374370132311e-39,2.03426454076976,0.275,0.165,7.37050332121272e-35,"0","PBXIP1"
"TOMM7",6.26476181077359e-39,0.588357809526065,0.705,0.733,2.29296547036124e-34,"0","TOMM7"
"NDUFB8",1.61560913220588e-38,0.794604717581985,0.632,0.65,5.91329098478673e-34,"0","NDUFB8"
"MIAT",2.2702421857504e-38,1.28813200138052,0.253,0.135,8.30931342406505e-34,"0","MIAT"
"RHOH",2.33394243251368e-38,1.31765414544905,0.27,0.148,8.54246269724332e-34,"0","RHOH"
"RSRP1",7.75414734266505e-38,0.7413733580587,0.668,0.68,2.83809546888883e-33,"0","RSRP1"
"RNF213",1.02527554209968e-37,1.25497759668021,0.434,0.344,3.75261101163904e-33,"0","RNF213"
"MT-ND5",1.12705294311322e-37,0.308481847835216,0.947,0.94,4.1251264770887e-33,"0","MT-ND5"
"UBE2B",1.66859861618649e-37,0.846772832756409,0.621,0.653,6.10723779510417e-33,"0","UBE2B"
"SMAP2",3.67345668453958e-37,1.38917349432631,0.407,0.315,1.34452188110833e-32,"0","SMAP2"
"RPLP0",6.91018951192338e-37,0.303538477038214,0.958,0.948,2.52919846325908e-32,"0","RPLP0"
"TSC22D3",3.75971867134689e-36,1.08557131336056,0.527,0.484,1.37609463089968e-31,"0","TSC22D3"
"ETS1",7.19437763280291e-36,1.46520404385507,0.373,0.278,2.63321415738219e-31,"0","ETS1"
"CD53",1.91617646588871e-35,0.846050865388542,0.43,0.301,7.01339748279925e-31,"0","CD53"
"BIRC3",2.26529796826028e-34,1.14295139248485,0.437,0.348,8.29121709362947e-30,"0","BIRC3"
"PIK3IP1",3.17027721076709e-34,1.77776523957124,0.306,0.207,1.16035316191286e-29,"0","PIK3IP1"
"MBP",4.69308750751142e-34,1.30760178388724,0.355,0.249,1.71771695862425e-29,"0","MBP"
"FOXP1",4.94290184111523e-34,1.33276494134245,0.412,0.328,1.80915150286658e-29,"0","FOXP1"
"ISCU",1.04112884714987e-33,0.795772037380842,0.624,0.642,3.81063569345325e-29,"0","ISCU"
"LCP1",1.45696205492391e-33,0.705117418246753,0.435,0.299,5.33262681722701e-29,"0","LCP1"
"CALM1",1.58043574978824e-33,0.326210721848439,0.847,0.849,5.78455288779992e-29,"0","CALM1"
"FNBP1",4.48847765444011e-33,1.06306173446877,0.478,0.407,1.64282770630162e-28,"0","FNBP1"
"PNISR",5.15660503048871e-33,0.77233637791449,0.603,0.599,1.88736900720917e-28,"0","PNISR"
"RPL23",3.9010956722918e-32,0.331123533006261,0.852,0.87,1.42784002701552e-27,"0","RPL23"
"ARID4B",5.76187456537477e-32,1.05838886583222,0.496,0.462,2.10890370967282e-27,"0","ARID4B"
"PRRC2C",3.71497625815725e-31,0.65161288169608,0.664,0.701,1.35971846024813e-26,"0","PRRC2C"
"RPL7",1.57445109889253e-30,0.285518798554497,0.926,0.922,5.76264846705656e-26,"0","RPL7"
"PFDN5",2.99731458510091e-30,0.273023497290771,0.916,0.931,1.09704711129278e-25,"0","PFDN5"
"ZNF331",5.41482771032172e-30,1.32319859926227,0.325,0.222,1.98188109025485e-25,"0","ZNF331"
"HTATIP2",4.68433647537958e-29,1.93842682921041,0.339,0.27,1.71451399335368e-24,"0","HTATIP2"
"SESN3",2.55070454250195e-28,1.99512041887669,0.298,0.213,9.33583369601139e-24,"0","SESN3"
"RGS1",3.56699235866195e-28,0.89070509322688,0.319,0.207,1.30555487319386e-23,"0","RGS1"
"ERP29",5.4892810881471e-28,0.770433262476544,0.561,0.565,2.00913177107272e-23,"0","ERP29"
"CDKN1B",8.98986060632632e-28,1.45366532465796,0.396,0.341,3.2903788805215e-23,"0","CDKN1B"
"FAM107B",3.09714449053816e-27,0.857973013171547,0.557,0.567,1.13358585498187e-22,"0","FAM107B"
"CD69",5.06167450831076e-27,0.713482374139901,0.25,0.142,1.85262348678682e-22,"0","CD69"
"HIST1H1D",1.09284496911245e-26,1.58915525767647,0.258,0.168,3.99992187144848e-22,"0","HIST1H1D"
"PRDM1",2.32428806116509e-26,0.337776356255421,0.134,0.292,8.50712673267036e-22,"0","PRDM1"
"H2AFV",3.34304444795141e-26,0.87493672203202,0.531,0.537,1.22358769839469e-21,"0","H2AFV"
"TOMM20",3.80346810043305e-26,0.426383181253041,0.793,0.819,1.3921073594395e-21,"0","TOMM20"
"ATP5MG",6.28558046106191e-26,0.503993719611837,0.69,0.743,2.30058530455327e-21,"0","ATP5MG"
"SNHG5",1.41091434206486e-25,0.594721589387021,0.69,0.747,5.16408758339161e-21,"0","SNHG5"
"SRSF7",1.74105523878801e-25,0.785922573092692,0.625,0.65,6.37243627948801e-21,"0","SRSF7"
"RPL31",2.95545371199642e-25,0.397960843543008,0.758,0.794,1.08172561312781e-20,"0","RPL31"
"PDE4D",1.6950136887532e-24,1.31835598115453,0.253,0.164,6.20391960220557e-20,"0","PDE4D"
"HLA-C",2.3696773460908e-24,0.28524287763274,0.944,0.939,8.67325605442692e-20,"0","HLA-C"
"RNASET2",3.08718736730898e-24,0.930030084719488,0.473,0.431,1.12994144830876e-19,"0","RNASET2"
"YPEL3",4.04978538968276e-24,0.934645668606364,0.495,0.477,1.48226195047779e-19,"0","YPEL3"
"NSMCE3",1.21339644969817e-23,1.55654456723619,0.352,0.295,4.44115234554028e-19,"0","NSMCE3"
"IFT20",3.94079595398518e-23,0.328403849524195,0.147,0.305,1.44237072711812e-18,"0","IFT20"
"NKTR",4.88269829895649e-23,0.934558571946041,0.497,0.484,1.78711640440107e-18,"0","NKTR"
"PSIP1",7.02213890130883e-23,1.39330116325004,0.307,0.232,2.57017305926805e-18,"0","PSIP1"
"CIRBP",8.69095303229724e-23,0.644991069991333,0.62,0.661,3.18097571935111e-18,"0","CIRBP"
"TBCC",2.64852900465765e-22,1.5429808789463,0.258,0.179,9.69388100994747e-18,"0","TBCC"
"SNHG29",3.46177617792879e-22,0.380564213376305,0.814,0.814,1.26704469888372e-17,"0","SNHG29"
"CEMIP2",3.56194743409116e-22,1.35609322739683,0.283,0.206,1.30370838035171e-17,"0","CEMIP2"
"GPBP1",8.03857715055454e-22,0.840716436235095,0.546,0.572,2.94219962287447e-17,"0","GPBP1"
"EIF3E",1.01801959856343e-21,0.729610497150149,0.584,0.645,3.726053532702e-17,"0","EIF3E"
"UBE2E3",1.8658495712977e-21,0.289027945805389,0.138,0.283,6.82919601590673e-17,"0","UBE2E3"
"DEK",2.61906304648112e-21,0.771797885063157,0.526,0.533,9.58603265642555e-17,"0","DEK"
